INV_TYPE,EMP_NO,ARROND,ARROND_NOM,Rue,Rue_cote,No_civique,Emplacement,Coord_X,Coord_Y,SIGLE,Essence_latin,Essence_fr,Essence_ang,DHP,Date_releve,Date_plantation,LOCALISATION,Localisation_code,CODE_PARC,NOM_PARC,Rue_de,Rue_a,Distance_pave,Distance_ligne_rue,Stationnement_jour,Stationnement_heure,District,Remarquable,Code_secteur,Nom_secteur,Coord_X,Coord_Y,Latitude,Longitude
,0003281,15,Outremont,VILLENEUVE,,   468,parterre,"297477,43","5041849,38",,ACER PLATANOIDES,,,"46,00",2025-02.27,,façade,,,,NELSON,McNIDER,"3,40",,Mer 13h-15h,,,,4,,"297477,43","5041849,38",,
,0003282,15,Outremont,VILLENEUVE,,   464,parterre,"297483,34","5041859,87",,ACER SACCHARINUM,,,"67,00",2025-02.27,,façade,,,,NELSON,McNIDER,"3,40",,Mer 13h-15h,,,,4,,"297483,34","5041859,87",,
,0003283,15,Outremont,VILLENEUVE,,   460,parterre,"297487,51","5041867,93",,QUERCUS RUBRA,,,"5,00",2025-05.05,,façade,,,,NELSON,McNIDER,"3,40",,Mer 13h-15h,,,,4,,"297487,51","5041867,93",,
,0003284,15,Outremont,VILLENEUVE,,   446,parterre,"297502,17","5041889,31",,ACER PLATANOIDES,,,"29,00",2024-07.25,,sur le côté droit,,,,HUTCHISON,NELSON,"3,20",,Mer 13h-15h,,,,4,,"297502,17","5041889,31",,
,0003285,15,Outremont,VILLENEUVE,,   440,parterre,"297516,56","5041912,75",,ACER PLATANOIDES,,,"38,00",2025-02.27,,façade,,,,HUTCHISON,NELSON,"3,50",,Mer 13h-15h,,,,4,,"297516,56","5041912,75",,
,0003287,15,Outremont,NELSON,,    43,parterre,"297486,14","5041896,73",,ACER SACCHARINUM,,,"74,00",2025-10.17,,droite,,,,VILLENEUVE,SAINT-JOSEPH O.,"3,50",,Mer 13h-15h,,,,4,,"297486,14","5041896,73",,
,0003288,15,Outremont,NELSON,,    43,parterre,"297477,23","5041900,85",,ACER PLATANOIDES,,,"26,00",2025-10.17,,gauche,,,,VILLENEUVE,SAINT-JOSEPH O.,"3,30",,Mer 13h-15h,,,,4,,"297477,23","5041900,85",,
,0003289,15,Outremont,NELSON,,    45,parterre,"297470,15","5041904,94",,SYRINGA R.  IVORY SILK,,,"9,00",2021-08.17,,façade,,,,VILLENEUVE,SAINT-JOSEPH O.,"0,00",,Mer 13h-15h,,,,4,,"297470,15","5041904,94",,
,0003290,15,Outremont,NELSON,,    45,parterre,"297462,68","5041910,02",,SYRINGA RETICULATA,,,"18,00",2021-08.17,,façade,,,,VILLENEUVE,SAINT-JOSEPH O.,"0,00",,Mer 13h-15h,,,,4,,"297462,68","5041910,02",,
,0003291,15,Outremont,NELSON,,    49,parterre,"297456,83","5041914,50",,ACER PLATANOIDES  DEBORAH,,,"36,00",2025-02.27,,façade,,,,VILLENEUVE,SAINT-JOSEPH O.,"3,30",,Mer 13h-15h,,,,4,,"297456,83","5041914,50",,
,0003292,15,Outremont,NELSON,,    51,parterre,"297451,26","5041917,87",,ACER SACCHARINUM,,,"70,00",2025-02.27,,façade,,,,VILLENEUVE,SAINT-JOSEPH O.,"3,30",,Mer 13h-15h,,,,4,,"297451,26","5041917,87",,
,0003293,15,Outremont,NELSON,,    53,parterre,"297440,07","5041924,46",,SYRINGA R.  IVORY SILK,,,"5,00",2021-10.05,,façade,,,,VILLENEUVE,SAINT-JOSEPH O.,"0,00",,Mer 13h-15h,,,,4,,"297440,07","5041924,46",,
,0003294,15,Outremont,NELSON,,    55,parterre,"297433,40","5041928,85",,ULMUS AMERICANA 'VALLEY FORGE',,,"5,00",2023-11.06,,façade,,,,VILLENEUVE,SAINT-JOSEPH O.,"0,00",,Mer 13h-15h,,,,4,,"297433,40","5041928,85",,
,0003295,15,Outremont,NELSON,,    59,parterre,"297421,39","5041936,41",,ULMUS 'ACCOLADE',,,"25,00",2025-10.17,,façade,,,,VILLENEUVE,SAINT-JOSEPH O.,"0,00",,Mer 13h-15h,,,,4,,"297421,39","5041936,41",,
,0003296,15,Outremont,NELSON,,    63,parterre,"297408,80","5041944,81",,QUERCUS RUBRA,,,"49,00",2024-07.25,,façade,,,,VILLENEUVE,SAINT-JOSEPH O.,"3,60",,Mer 13h-15h,,,,4,,"297408,80","5041944,81",,
,0003297,15,Outremont,NELSON,,    67,parterre,"297401,65","5041950,56",,TILIA CORDATA  GREENSPIRE,,,"17,00",2025-02.27,,façade,,,,VILLENEUVE,SAINT-JOSEPH O.,"0,00",,Mer 13h-15h,,,,4,,"297401,65","5041950,56",,
,0003298,15,Outremont,NELSON,,    67,parterre,"297393,25","5041954,85",,ACER SACCHARINUM,,,"84,00",2025-10.17,,façade,,,,VILLENEUVE,SAINT-JOSEPH O.,"3,60",,Mer 13h-15h,,,,4,,"297393,25","5041954,85",,
,0003299,15,Outremont,NELSON,,    75,parterre,"297381,44","5041960,89",,ACER PLATANOIDES,,,"83,00",2024-07.25,,façade,,,,VILLENEUVE,SAINT-JOSEPH O.,"3,60",,Mer 13h-15h,,,,4,,"297381,44","5041960,89",,
,0003300,15,Outremont,NELSON,,    85,parterre,"297366,10","5041970,98",,ACER PLATANOIDES  DEBORAH,,,"35,00",2025-02.27,,sur le côté façade,,,,VILLENEUVE,SAINT-JOSEPH O.,"3,60",,Mer 13h-15h,,,,4,,"297366,10","5041970,98",,
,0003301,15,Outremont,NELSON,,    85,parterre,"297360,97","5041974,19",,ACER PLATANOIDES,,,"34,00",2025-02.27,,sur le côté façade,,,,VILLENEUVE,SAINT-JOSEPH O.,"3,60",,Mer 13h-15h,,,,4,,"297360,97","5041974,19",,
,0003302,15,Outremont,NELSON,,    85,parterre,"297354,43","5041979,60",,ACER SACCHARINUM,,,"52,00",2025-02.27,,sur le côté gauche,,,,VILLENEUVE,SAINT-JOSEPH O.,"3,60",,Mer 13h-15h,,,,4,,"297354,43","5041979,60",,
,0003303,15,Outremont,NELSON,,    80,parterre,"297352,41","5041963,72",,ACER SACCHARINUM,,,"53,00",2025-02.27,,sur le côté façade,,,,VILLENEUVE,SAINT-JOSEPH O.,"3,70",,Tout temps,,,,4,,"297352,41","5041963,72",,
,0003304,15,Outremont,NELSON,,    80,parterre,"297361,60","5041956,56",,ACER PLATANOIDES,,,"28,00",2025-02.27,,sur le côté façade,,,,VILLENEUVE,SAINT-JOSEPH O.,"3,70",,Tout temps,,,,4,,"297361,60","5041956,56",,
,0003305,15,Outremont,NELSON,,    80,parterre,"297375,04","5041948,64",,TILIA AMERICANA  REDMOND,,,"33,00",2025-02.27,,sur le côté façade,,,,VILLENEUVE,SAINT-JOSEPH O.,"3,70",,Tout temps,,,,4,,"297375,04","5041948,64",,
,0003306,15,Outremont,NELSON,,    66,parterre,"297383,46","5041943,35",,TILIA CORDATA  GREENSPIRE,,,"18,00",2025-02.27,,façade,,,,VILLENEUVE,SAINT-JOSEPH O.,"0,00",,Tout temps,,,,4,,"297383,46","5041943,35",,
,0003307,15,Outremont,NELSON,,    66,parterre,"297392,41","5041937,30",,ACER PLATANOIDES,,,"39,00",2025-02.27,,gauche,,,,VILLENEUVE,SAINT-JOSEPH O.,"3,70",,Tout temps,,,,4,,"297392,41","5041937,30",,
,0003308,15,Outremont,NELSON,,    64,parterre,"297402,17","5041929,93",,GINKGO BILOBA 'AUTUMN GOLD',,,"5,00",2023-12.01,,façade,,,,VILLENEUVE,SAINT-JOSEPH O.,"0,00",,Tout temps,,,,4,,"297402,17","5041929,93",,
,0003309,15,Outremont,NELSON,,    58,parterre,"297420,83","5041917,47",,ACER PLATANOIDES,,,"73,00",2024-07.25,,façade,,,,VILLENEUVE,SAINT-JOSEPH O.,"3,60",,Tout temps,,,,4,,"297420,83","5041917,47",,
,0003310,15,Outremont,NELSON,,    56,parterre,"297428,26","5041911,52",,TILIA AMERICANA  REDMOND,,,"5,00",2023-11.06,,façade,,,,VILLENEUVE,SAINT-JOSEPH O.,"0,00",,Tout temps,,,,4,,"297428,26","5041911,52",,
,0003311,15,Outremont,NELSON,,    54,parterre,"297436,68","5041906,24",,ACER PLATANOIDES  DEBORAH,,,"39,00",2025-02.27,,façade,,,,VILLENEUVE,SAINT-JOSEPH O.,"3,40",,Tout temps,,,,4,,"297436,68","5041906,24",,
,0003312,15,Outremont,NELSON,,    50,parterre,"297454,29","5041896,80",,ACER PLATANOIDE,,,"52,00",2024-07.25,,façade,,,,VILLENEUVE,SAINT-JOSEPH O.,"3,90",,Tout temps,,,,4,,"297454,29","5041896,80",,
,0003314,15,Outremont,NELSON,,    46,parterre,"297464,98","5041891,88",,TILIA CORDATA  GREENSPIRE,,,"12,00",2025-06.02,,façade,,,,VILLENEUVE,SAINT-JOSEPH O.,"0,00",,Tout temps,,,,4,,"297464,98","5041891,88",,
,0003315,15,Outremont,NELSON,,    42,parterre,"297476,47","5041884,83",,ACER SACCHARINUM,,,"77,00",2025-02.27,,façade,,,,VILLENEUVE,SAINT-JOSEPH O.,"3,80",,Tout temps,,,,4,,"297476,47","5041884,83",,
,0003316,15,Outremont,BERNARD,,  1180,arbre en carré,"296370,30","5042333,65",,ULMUS PUMILA,,,"40,00",2024-07.25,,façade,,,,"L'EPEE, DE",BLOOMFIELD,"1,00",,Ven 7h-9h,,,,3,,"296370,30","5042333,65",,
,0003317,15,Outremont,BERNARD,,  1180,arbre en carré,"296364,78","5042325,22",,GLEDITSIA T. 'STREET KEEPER',,,"5,00",2021-08.03,,façade,,,,"L'EPEE, DE",BLOOMFIELD,"0,00",,Ven 7h-9h,,,,3,,"296364,78","5042325,22",,
,0003318,15,Outremont,BERNARD,,  1180,arbre en carré,"296360,81","5042319,21",,GLEDITSIA T. 'STREET KEEPER',,,"5,00",2021-08.03,,façade,,,,"L'EPEE, DE",BLOOMFIELD,"0,00",,Ven 7h-9h,,,,3,,"296360,81","5042319,21",,
,0003319,15,Outremont,BERNARD,,  1180,arbre en carré,"296356,31","5042312,84",,GLEDITSIA T. I.  SHADEMASTER,,,"6,00",2021-08.03,,façade,,,,"L'EPEE, DE",BLOOMFIELD,"0,00",,Ven 7h-9h,,,,3,,"296356,31","5042312,84",,
,0003320,15,Outremont,BERNARD,,  1180,arbre en carré,"296352,01","5042305,03",,ULMUS PUMILA,,,"24,00",2024-07.25,,façade,,,,"L'EPEE, DE",BLOOMFIELD,"1,00",,Ven 7h-9h,,,,3,,"296352,01","5042305,03",,
,0003321,15,Outremont,BERNARD,,  1248,arbre en carré,"296318,94","5042251,65",,ULMUS PUMILA,,,"35,00",2025-02.27,,façade,,,,BLOOMFIELD,CHAMPAGNEUR,"1,10",,Ven 7h-9h,,,,4,,"296318,94","5042251,65",,
,0003322,15,Outremont,BERNARD,,  1248,arbre en carré,"296315,22","5042246,37",,GLEDITSIA T. 'STREET KEEPER',,,"5,00",2021-08.03,,façade,,,,BLOOMFIELD,CHAMPAGNEUR,"0,00",,Ven 7h-9h,,,,4,,"296315,22","5042246,37",,
,0003323,15,Outremont,BERNARD,,  1248,arbre en carré,"296311,34","5042239,47",,ULMUS 'PIONEER',,,"20,00",2025-02.27,,façade,,,,BLOOMFIELD,CHAMPAGNEUR,"0,00",,Ven 7h-9h,,,,4,,"296311,34","5042239,47",,
,0003324,15,Outremont,BERNARD,,  1248,arbre en carré,"296307,51","5042233,17",,GINKGO BILOBA 'PRINC. SENTRY',,,"4,00",2022-12.20,,façade,,,,BLOOMFIELD,CHAMPAGNEUR,"0,00",,Ven 7h-9h,,,,4,,"296307,51","5042233,17",,
,0003325,15,Outremont,BERNARD,,  1250,arbre en carré,"296292,34","5042207,13",,ACER PLATANOIDES,,,"25,00",2024-07.25,,façade,,,,CHAMPAGNEUR,OUTREMONT,"2,90",,Ven 7h-9h,,,,4,,"296292,34","5042207,13",,
,0003327,15,Outremont,BERNARD,,  1280,arbre en carré,"296281,29","5042190,63",,ACER PLATANOIDE,,,"45,00",2025-02.26,,façade,,,,CHAMPAGNEUR,OUTREMONT,"0,00",,Ven 7h-9h,,,,4,,"296281,29","5042190,63",,
,0003328,15,Outremont,BERNARD,,  1290,parterre,"296269,04","5042171,43",,ACER PLATANOIDES,,,"32,00",2025-02.27,,façade,,,,CHAMPAGNEUR,OUTREMONT,"3,20",,Ven 7h-9h,,,,4,,"296269,04","5042171,43",,
,0003329,15,Outremont,BERNARD,,  1290,parterre,"296262,48","5042160,20",,GLEDITSIA,,,"12,00",2025-02.27,,façade,,,,CHAMPAGNEUR,OUTREMONT,"0,00",,Ven 7h-9h,,,,4,,"296262,48","5042160,20",,
,0003330,15,Outremont,BERNARD,,  1308,parterre,"296247,40","5042136,41",,ACER PLATANOIDES,,,"19,00",2025-02.27,,façade,,,,OUTREMONT,WISEMAN,"0,00",,Ven 7h-9h,,,,4,,"296247,40","5042136,41",,
,0003331,15,Outremont,BERNARD,,  1308,parterre,"296240,92","5042126,77",,ACER PLATANOIDES,,,"20,00",2025-02.27,,façade,,,,OUTREMONT,WISEMAN,"2,70",,Ven 7h-9h,,,,4,,"296240,92","5042126,77",,
,0003332,15,Outremont,BERNARD,,  1308,parterre,"296235,53","5042117,42",,ACER PLATANOIDES,,,"18,00",2025-02.27,,façade,,,,OUTREMONT,WISEMAN,"0,00",,Ven 7h-9h,,,,4,,"296235,53","5042117,42",,
,0003333,15,Outremont,BERNARD,,  1308,parterre,"296231,90","5042111,91",,ACER PLATANOIDES,,,"19,00",2021-08.03,,façade,,,,OUTREMONT,WISEMAN,"0,00",,Ven 7h-9h,,,,4,,"296231,90","5042111,91",,
,0003335,15,Outremont,BERNARD,,  1318,parterre,"296224,42","5042101,06",,ACER PLATANOIDES COLUMNARE,,,"12,00",2021-08.03,,façade,,,,OUTREMONT,WISEMAN,"0,00",,Ven 9h-11h,,,,4,,"296224,42","5042101,06",,
,0003336,15,Outremont,BERNARD,,  1360,parterre,"296217,97","5042094,77",,ACER PLATANOIDES,,,"67,00",2024-07.25,,façade,,,,OUTREMONT,WISEMAN,"2,70",,Ven 7h-9h,,,,4,,"296217,97","5042094,77",,
,0003337,15,Outremont,BERNARD,,  1364,parterre,"296209,52","5042077,01",,ACER PLATANOIDES COLUMNARE,,,"25,00",2024-07.25,,façade,,,,OUTREMONT,WISEMAN,"3,30",,Ven 7h-9h,,,,4,,"296209,52","5042077,01",,
,0003338,15,Outremont,BERNARD,,  1380,parterre,"296206,41","5042071,42",,ACER PLATANOIDES COLUMNARE,,,"28,00",2024-07.25,,façade,,,,OUTREMONT,WISEMAN,"3,30",,Ven 7h-9h,,,,4,,"296206,41","5042071,42",,
,0003339,15,Outremont,BERNARD,,  1390,parterre,"296198,38","5042058,57",,ACER PLATANOIDES COLUMNARE,,,"25,00",2024-07.25,,façade,,,,OUTREMONT,WISEMAN,"3,30",,Ven 7h-9h,,,,4,,"296198,38","5042058,57",,
,0003340,15,Outremont,BERNARD,,  1390,parterre,"296195,25","5042052,98",,ACER PLATANOIDES,,,"17,00",2021-08.03,,droite,,,,OUTREMONT,WISEMAN,"0,00",,Ven 7h-9h,,,,4,,"296195,25","5042052,98",,
,0003342,15,Outremont,DUROCHER,,  6218,parterre,"296067,72","5042732,12",,ACER PLATANOIDES,,,"44,00",2024-07.25,,façade,,,,VAN HORNE,CUL-DE-SAC,"3,00",,Tout temps,,,,3,,"296067,72","5042732,12",,
,0003343,15,Outremont,DUROCHER,,  6210,parterre,"296078,47","5042725,57",,ACER PLATANOIDES COLUMNARE,,,"23,00",2024-07.25,,sur le côté façade,,,,VAN HORNE,CUL-DE-SAC,"3,00",,Tout temps,,,,3,,"296078,47","5042725,57",,
,0003344,15,Outremont,DUROCHER,,  6200,parterre,"296103,19","5042708,62",,ACER PLATANOIDES,,,"45,00",2024-07.25,,sur le côté façade,,,,LAJOIE,VAN HORNE,"3,00",,Mer 7h-9h,,,,3,,"296103,19","5042708,62",,
,0003345,15,Outremont,DUROCHER,,  6188,parterre,"296116,49","5042700,72",,FRAXINUS PENNSYLVANICA,,,"39,00",2024-07.25,,façade,,,,LAJOIE,VAN HORNE,"3,00",,Mer 7h-9h,,,,3,,"296116,49","5042700,72",,
,0003346,15,Outremont,DUROCHER,,  6176,parterre,"296128,80","5042692,61",,TILIA SP,,,"5,00",2021-09.30,,façade,,,,LAJOIE,VAN HORNE,"0,00",,Mer 7h-9h,,,,3,,"296128,80","5042692,61",,
,0003347,15,Outremont,DUROCHER,,  6170,parterre,"296137,45","5042687,21",,ACER PLATANOIDES,,,"43,00",2024-07.25,,façade,,,,LAJOIE,VAN HORNE,"3,00",,Mer 7h-9h,,,,3,,"296137,45","5042687,21",,
,0003348,15,Outremont,DUROCHER,,  6160,parterre,"296143,14","5042683,36",,ACER SACCHARINUM,,,"52,00",2024-07.25,,façade,,,,LAJOIE,VAN HORNE,"3,00",,Mer 7h-9h,,,,3,,"296143,14","5042683,36",,
,0003349,15,Outremont,DUROCHER,,  6156,parterre,"296154,47","5042676,57",,ACER PLATANOIDES  DEBORAH,,,"22,00",2024-07.25,,façade,,,,LAJOIE,VAN HORNE,"3,00",,Mer 7h-9h,,,,3,,"296154,47","5042676,57",,
,0003353,15,Outremont,DUROCHER,,  6140,parterre,"296170,04","5042667,18",,FRAXINUS PENNSYLVANICA,,,"27,00",2024-07.25,,façade,,,,LAJOIE,VAN HORNE,"3,00",,Mer 7h-9h,,,,3,,"296170,04","5042667,18",,
,0003354,15,Outremont,DUROCHER,,  6134,parterre,"296174,84","5042664,23",,ACER NEGUNDO,,,"16,00",2021-08.09,,façade,,,,LAJOIE,VAN HORNE,"0,00",,Mer 7h-9h,,,,3,,"296174,84","5042664,23",,
,0003355,15,Outremont,DUROCHER,,  6122,parterre,"296187,34","5042656,61",,TILIA CORDATA,,,"34,00",2024-07.25,,façade,,,,LAJOIE,VAN HORNE,"3,00",,Ven 7h-9h,,,,3,,"296187,34","5042656,61",,
,0003357,15,Outremont,DUROCHER,,  6116,parterre,"296194,61","5042652,62",,FRAXINUS PENNSYLVANICA,,,"27,00",2024-07.25,,façade,,,,LAJOIE,VAN HORNE,"3,00",,Ven 7h-9h,,,,3,,"296194,61","5042652,62",,
,0003359,15,Outremont,DUROCHER,,  6116,parterre,"296209,21","5042643,22",,GYMNOCLADUS DIOICUS 'ESPRESSO',,,"7,00",2021-08.09,,façade,,,,LAJOIE,VAN HORNE,"0,00",,Mer 7h-9h,,,,3,,"296209,21","5042643,22",,
,0003360,15,Outremont,DUROCHER,,  6096,parterre,"296218,02","5042636,71",,ACER PLATANOIDES,,,"70,00",2024-07.25,,façade,,,,LAJOIE,VAN HORNE,"3,00",,Mer 7h-9h,,,,3,,"296218,02","5042636,71",,
,0003361,15,Outremont,DUROCHER,,  6090,parterre,"296227,53","5042630,62",,GLEDITSIA T. 'STREET KEEPER',,,"5,00",2021-08.09,,façade,,,,LAJOIE,VAN HORNE,"0,00",,Mer 7h-9h,,,,3,,"296227,53","5042630,62",,
,0003362,15,Outremont,DUROCHER,,  6080,parterre,"296239,20","5042623,75",,ACER PLATANOIDES,,,"73,00",2024-07.25,,façade,,,,LAJOIE,VAN HORNE,"3,00",,Mer 7h-9h,,,,3,,"296239,20","5042623,75",,
,0003363,15,Outremont,DUROCHER,,  6064,parterre,"296246,58","5042619,04",,FRAXINUS PENNSYLVANICA,,,"32,00",2024-07.25,,façade,,,,LAJOIE,VAN HORNE,"3,00",,Mer 7h-9h,,,,3,,"296246,58","5042619,04",,
,0003366,15,Outremont,DUROCHER,,  6054,parterre,"296265,76","5042606,28",,ACER PLATANOIDES,,,"42,00",2024-07.25,,façade,,,,LAJOIE,VAN HORNE,"3,00",,Mer 7h-9h,,,,3,,"296265,76","5042606,28",,
,0003367,15,Outremont,DUROCHER,,  6038,parterre,"296278,71","5042599,71",,GYMNOCLADUS DIOICUS 'ESPRESSO',,,"5,00",2021-08.09,,façade,,,,LAJOIE,VAN HORNE,"0,00",,Mer 7h-9h,,,,3,,"296278,71","5042599,71",,
,0003368,15,Outremont,DUROCHER,,  6010,parterre,"296292,91","5042589,43",,ACER PLATANOIDES  DEBORAH,,,"43,00",2024-07.25,,façade,,,,LAJOIE,VAN HORNE,"3,00",,Mer 7h-9h,,,,3,,"296292,91","5042589,43",,
,0003369,15,Outremont,DUROCHER,,  6010,parterre,"296300,18","5042585,04",,ACER PLATANOIDES,,,"36,00",2024-07.25,,façade,,,,LAJOIE,VAN HORNE,"3,00",,Mer 7h-9h,,,,3,,"296300,18","5042585,04",,
,0003370,15,Outremont,DUROCHER,,  5990,parterre,"296323,59","5042569,53",,GINKGO BILOBA 'AUTUMN GOLD',,,"5,00",2025-04.23,,façade,,,,BERNARD,LAJOIE,"0,00",,Mer 9h-11h,,,,3,,"296323,59","5042569,53",,
,0003371,15,Outremont,DUROCHER,,  5990,parterre,"296330,27","5042567,46",,ACER PLATANOIDES,,,"53,00",2024-07.25,,façade,,,,BERNARD,LAJOIE,"3,00",,Mer 9h-11h,,,,3,,"296330,27","5042567,46",,
,0003372,15,Outremont,DUROCHER,,  5966,parterre,"296342,22","5042559,16",,ACER PLATANOIDES,,,"65,00",2024-07.25,,façade,,,,BERNARD,LAJOIE,"3,00",,Mer 9h-11h,,,,3,,"296342,22","5042559,16",,
,0003373,15,Outremont,DUROCHER,,  5950,parterre,"296348,28","5042555,78",,GLEDITSIA T. I.  SHADEMASTER,,,"6,00",2021-08.09,,façade,,,,BERNARD,LAJOIE,"0,00",,Mer 9h-11h,,,,3,,"296348,28","5042555,78",,
,0003374,15,Outremont,DUROCHER,,  5936,parterre,"296355,50","5042549,94",,FRAXINUS PENNSYLVANICA,,,"31,00",2024-07.25,,façade,,,,BERNARD,LAJOIE,"3,00",,Mer 9h-11h,,,,3,,"296355,50","5042549,94",,
,0003375,15,Outremont,DUROCHER,,  5900,parterre,"296364,68","5042544,67",,ACER PLATANOIDES,,,"73,00",2024-07.25,,façade,,,,BERNARD,LAJOIE,"3,00",,Mer 9h-11h,,,,3,,"296364,68","5042544,67",,
,0003376,15,Outremont,DUROCHER,,  5880,parterre,"296377,14","5042535,79",,GYMNOCLADUS DIOICUS 'ESPRESSO',,,"6,00",2021-08.09,,façade,,,,BERNARD,LAJOIE,"0,00",,Mer 9h-11h,,,,3,,"296377,14","5042535,79",,
,0003377,15,Outremont,DUROCHER,,  5870,parterre,"296388,92","5042529,04",,TILIA CORDATA,,,"50,00",2024-07.25,,façade,,,,BERNARD,LAJOIE,"3,00",,Mer 9h-11h,,,,3,,"296388,92","5042529,04",,
,0003378,15,Outremont,DUROCHER,,  5850,parterre,"296397,58","5042523,78",,ACER PLATANOIDES,,,"57,00",2024-07.25,,façade,,,,BERNARD,LAJOIE,"3,00",,Mer 9h-11h,,,,3,,"296397,58","5042523,78",,
,0003379,15,Outremont,DUROCHER,,  5838,parterre,"296407,47","5042517,58",,ACER PLATANOIDES,,,"56,00",2024-07.25,,façade,,,,BERNARD,LAJOIE,"3,00",,Mer 9h-11h,,,,3,,"296407,47","5042517,58",,
,0003380,15,Outremont,DUROCHER,,  5828,parterre,"296415,80","5042511,21",,LIRIODENDRON TULIPIFERA,,,"4,00",2022-06.30,,façade,,,,BERNARD,LAJOIE,"0,00",,Mer 9h-11h,,,,3,,"296415,80","5042511,21",,
,0003381,15,Outremont,DUROCHER,,  5812,parterre,"296426,32","5042504,89",,FRAXINUS PENNSYLVANICA,,,"30,00",2024-07.25,,façade,,,,BERNARD,LAJOIE,"3,00",,Mer 9h-11h,,,,3,,"296426,32","5042504,89",,
,0003382,15,Outremont,DUROCHER,,  5810,parterre,"296434,41","5042500,16",,ACER PLATANOIDES,,,"17,00",2021-08.09,,sur le côté façade,,,,BERNARD,LAJOIE,"0,00",,Mer 9h-11h,,,,3,,"296434,41","5042500,16",,
,0003383,15,Outremont,DUROCHER,,  5810,parterre,"296441,23","5042495,73",,ACER PLATANOIDES,,,"32,00",2024-07.25,,sur le côté façade,,,,BERNARD,LAJOIE,"3,10",,Mer 9h-11h,,,,3,,"296441,23","5042495,73",,
,0003384,15,Outremont,DUROCHER,,  5815,parterre,"296448,09","5042507,77",,ACER PLATANOIDES,,,"68,00",2024-07.25,,façade,,,,BERNARD,LAJOIE,"2,80",,Lun 13h-15h,,,,3,,"296448,09","5042507,77",,
,0003385,15,Outremont,DUROCHER,,  5815,parterre,"296441,90","5042511,95",,QUERCUS MACROCARPA,,,"5,00",2021-08.09,,façade,,,,BERNARD,LAJOIE,"0,00",,Lun 13h-15h,,,,3,,"296441,90","5042511,95",,
,0003386,15,Outremont,DUROCHER,,  5815,parterre,"296435,36","5042515,71",,ACER PLATANOIDES,,,"45,00",2024-07.25,,façade,,,,BERNARD,LAJOIE,"2,80",,Lun 13h-15h,,,,3,,"296435,36","5042515,71",,
,0003387,15,Outremont,DUROCHER,,  5821,parterre,"296429,14","5042520,35",,ACER PLATANOIDES,,,"58,00",2024-07.25,,façade,,,,BERNARD,LAJOIE,"2,80",,Lun 13h-15h,,,,3,,"296429,14","5042520,35",,
,0003388,15,Outremont,DUROCHER,,  5827,parterre,"296422,94","5042525,06",,ACER PLATANOIDES,,,"48,00",2024-07.25,,façade,,,,BERNARD,LAJOIE,"2,80",,Lun 13h-15h,,,,3,,"296422,94","5042525,06",,
,0003389,15,Outremont,DUROCHER,,  5839,parterre,"296413,21","5042530,98",,GYMNOCLADUS DIOICUS,,,"4,00",2021-08.09,,façade,,,,BERNARD,LAJOIE,"0,00",,Lun 13h-15h,,,,3,,"296413,21","5042530,98",,
,0003390,15,Outremont,DUROCHER,,  5851,parterre,"296407,25","5042534,98",,GLEDITSIA T. I. 'NORTHERN ACCL,,,"5,00",2023-01.12,,façade,,,,BERNARD,LAJOIE,"0,00",,Lun 13h-15h,,,,3,,"296407,25","5042534,98",,
,0003391,15,Outremont,DUROCHER,,  5863,parterre,"296396,93","5042541,41",,ULMUS 'ACCOLADE',,,"6,00",2021-08.09,,façade,,,,BERNARD,LAJOIE,"0,00",,Lun 13h-15h,,,,3,,"296396,93","5042541,41",,
,0003392,15,Outremont,DUROCHER,,  5881,parterre,"296388,94","5042546,25",,ACER PLATANOIDES,,,"62,00",2024-07.25,,façade,,,,BERNARD,LAJOIE,"2,80",,Lun 13h-15h,,,,3,,"296388,94","5042546,25",,
,0003393,15,Outremont,DUROCHER,,  5891,parterre,"296379,89","5042551,80",,FRAXINUS PENNSYLVANICA,,,"28,00",2024-07.25,,façade,,,,BERNARD,LAJOIE,"2,80",,Lun 13h-15h,,,,3,,"296379,89","5042551,80",,
,0003394,15,Outremont,DUROCHER,,  5921,parterre,"296367,44","5042559,16",,GINKGO BILOBA 'AUTUMN GOLD',,,"5,00",2025-05.08,,façade,,,,BERNARD,LAJOIE,"2,80",,Lun 13h-15h,,,,3,,"296367,44","5042559,16",,
,0003396,15,Outremont,DUROCHER,,  5967,parterre,"296348,19","5042570,16",,ACER SACCHARINUM,,,"50,00",2024-07.25,,façade,,,,BERNARD,LAJOIE,"2,80",,Lun 13h-15h,,,,3,,"296348,19","5042570,16",,
,0003397,15,Outremont,DUROCHER,,  5979,parterre,"296342,20","5042575,02",,ULMUS 'ACCOLADE',,,"9,00",2021-08.09,,façade,,,,BERNARD,LAJOIE,"0,00",,Lun 13h-15h,,,,3,,"296342,20","5042575,02",,
,0003398,15,Outremont,DUROCHER,,  5989,parterre,"296334,94","5042579,72",,ULMUS 'ACCOLADE',,,"8,00",2021-08.09,,façade,,,,BERNARD,LAJOIE,"0,00",,Lun 13h-15h,,,,3,,"296334,94","5042579,72",,
,0003399,15,Outremont,DUROCHER,,  5989,parterre,"296328,31","5042585,39",,GYMNOCLADUS DIOICUS 'ESPRESSO',,,"7,00",2021-08.09,,façade,,,,BERNARD,LAJOIE,"0,00",,0,,,,3,,"296328,31","5042585,39",,
